timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675015377227,1899,wp.pl main page,200,OK,wp.pl users 1-2,text,true,,628156,226,7,7,https://www.wp.pl/,51,0,37
1675015377227,55,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-2,text,true,,348,113,7,7,http://www.wp.pl/,51,0,37
1675015377284,1842,wp.pl main page-1,200,OK,wp.pl users 1-2,text,true,,627808,113,7,7,https://www.wp.pl/,562,0,411
1675015377218,2260,wp.pl main page,200,OK,wp.pl users 1-1,text,true,,628055,226,7,7,https://www.wp.pl/,60,0,48
1675015377218,64,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-1,text,true,,348,113,7,7,http://www.wp.pl/,60,0,48
1675015377284,2194,wp.pl main page-1,200,OK,wp.pl users 1-1,text,true,,627707,113,7,7,https://www.wp.pl/,649,0,410
1675015377368,2117,wp.pl main page,200,OK,wp.pl users 1-3,text,true,,628121,226,7,7,https://www.wp.pl/,18,0,9
1675015377368,18,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-3,text,true,,348,113,7,7,http://www.wp.pl/,18,0,9
1675015377387,2098,wp.pl main page-1,200,OK,wp.pl users 1-3,text,true,,627773,113,7,7,https://www.wp.pl/,458,0,308
1675015377513,2116,wp.pl main page,200,OK,wp.pl users 1-4,text,true,,627944,226,7,7,https://www.wp.pl/,17,0,9
1675015377513,18,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-4,text,true,,348,113,7,7,http://www.wp.pl/,17,0,9
1675015377531,2098,wp.pl main page-1,200,OK,wp.pl users 1-4,text,true,,627596,113,7,7,https://www.wp.pl/,268,0,164
1675015377654,2242,wp.pl main page,200,OK,wp.pl users 1-5,text,true,,627990,226,7,7,https://www.wp.pl/,18,0,9
1675015377654,18,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-5,text,true,,348,113,7,7,http://www.wp.pl/,18,0,9
1675015377673,2223,wp.pl main page-1,200,OK,wp.pl users 1-5,text,true,,627642,113,7,7,https://www.wp.pl/,238,0,46
1675015377798,2360,wp.pl main page,200,OK,wp.pl users 1-6,text,true,,627791,226,7,7,https://www.wp.pl/,107,0,69
1675015377798,107,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-6,text,true,,348,113,7,7,http://www.wp.pl/,107,0,69
1675015377906,2252,wp.pl main page-1,200,OK,wp.pl users 1-6,text,true,,627443,113,7,7,https://www.wp.pl/,386,0,154
1675015379127,1511,wp.pl main page,200,OK,wp.pl users 1-2,text,true,,628275,226,7,7,https://www.wp.pl/,114,0,0
1675015379127,114,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-2,text,true,,348,113,7,7,http://www.wp.pl/,114,0,0
1675015379241,1397,wp.pl main page-1,200,OK,wp.pl users 1-2,text,true,,627927,113,7,7,https://www.wp.pl/,295,0,0
1675015379478,1467,wp.pl main page,200,OK,wp.pl users 1-1,text,true,,628062,226,7,7,https://www.wp.pl/,102,0,0
1675015379478,102,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-1,text,true,,348,113,7,7,http://www.wp.pl/,102,0,0
1675015379580,1365,wp.pl main page-1,200,OK,wp.pl users 1-1,text,true,,627714,113,7,7,https://www.wp.pl/,137,0,0
1675015379485,1586,wp.pl main page,200,OK,wp.pl users 1-3,text,true,,628056,226,7,7,https://www.wp.pl/,95,0,0
1675015377940,3131,wp.pl main page,200,OK,wp.pl users 1-7,text,true,,627744,226,7,7,https://www.wp.pl/,132,0,57
1675015379485,95,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-3,text,true,,348,113,7,7,http://www.wp.pl/,95,0,0
1675015377940,132,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-7,text,true,,348,113,7,7,http://www.wp.pl/,132,0,57
1675015379580,1491,wp.pl main page-1,200,OK,wp.pl users 1-3,text,true,,627708,113,7,7,https://www.wp.pl/,148,0,0
1675015378073,2998,wp.pl main page-1,200,OK,wp.pl users 1-7,text,true,,627396,113,7,7,https://www.wp.pl/,400,0,169
1675015379629,1684,wp.pl main page,200,OK,wp.pl users 1-4,text,true,,628124,226,7,7,https://www.wp.pl/,59,0,0
1675015379629,59,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-4,text,true,,348,113,7,7,http://www.wp.pl/,59,0,0
1675015379688,1625,wp.pl main page-1,200,OK,wp.pl users 1-4,text,true,,627776,113,7,7,https://www.wp.pl/,208,0,0
1675015380164,1595,wp.pl main page,200,OK,wp.pl users 1-6,text,true,,628133,226,7,7,https://www.wp.pl/,41,0,0
1675015380164,42,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-6,text,true,,348,113,7,7,http://www.wp.pl/,41,0,0
1675015380206,1553,wp.pl main page-1,200,OK,wp.pl users 1-6,text,true,,627785,113,7,7,https://www.wp.pl/,334,0,0
1675015380638,1128,wp.pl main page,200,OK,wp.pl users 1-2,text,true,,627899,226,7,7,https://www.wp.pl/,111,0,0
1675015380638,111,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-2,text,true,,348,113,7,7,http://www.wp.pl/,111,0,0
1675015380749,1017,wp.pl main page-1,200,OK,wp.pl users 1-2,text,true,,627551,113,7,7,https://www.wp.pl/,270,0,0
1675015379896,1902,wp.pl main page,200,OK,wp.pl users 1-5,text,true,,628260,226,7,7,https://www.wp.pl/,215,0,0
1675015379896,215,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-5,text,true,,348,113,7,7,http://www.wp.pl/,215,0,0
1675015380111,1687,wp.pl main page-1,200,OK,wp.pl users 1-5,text,true,,627912,113,7,7,https://www.wp.pl/,196,0,0
1675015380945,1523,wp.pl main page,200,OK,wp.pl users 1-1,text,true,,627944,226,7,7,https://www.wp.pl/,125,0,0
1675015380945,126,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-1,text,true,,348,113,7,7,http://www.wp.pl/,125,0,0
1675015381071,1397,wp.pl main page-1,200,OK,wp.pl users 1-1,text,true,,627596,113,7,7,https://www.wp.pl/,199,0,0
1675015381072,1902,wp.pl main page,200,OK,wp.pl users 1-3,text,true,,628098,226,7,7,https://www.wp.pl/,94,0,0
1675015381072,94,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-3,text,true,,348,113,7,7,http://www.wp.pl/,94,0,0
1675015381166,1808,wp.pl main page-1,200,OK,wp.pl users 1-3,text,true,,627750,113,7,7,https://www.wp.pl/,225,0,0
1675015381314,1925,wp.pl main page,200,OK,wp.pl users 1-4,text,true,,628112,226,7,7,https://www.wp.pl/,39,0,0
1675015381314,39,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-4,text,true,,348,113,7,7,http://www.wp.pl/,39,0,0
1675015381353,1886,wp.pl main page-1,200,OK,wp.pl users 1-4,text,true,,627764,113,7,7,https://www.wp.pl/,288,0,0
1675015381766,1486,wp.pl main page,200,OK,wp.pl users 1-2,text,true,,627892,226,7,7,https://www.wp.pl/,70,0,0
1675015381766,70,wp.pl main page-0,301,Moved Permanently,wp.pl users 1-2,text,true,,348,113,7,7,http://www.wp.pl/,70,0,0
1675015381837,1415,wp.pl main page-1,200,OK,wp.pl users 1-2,text,true,,627544,113,7,7,https://www.wp.pl/,332,0,0
